Id,File,label,date,time,PosixTime,begin[sec],end[sec],msec,clip[usec],lat[deg],lon[deg],depth[m],heading[deg],dec[deg],pitch[deg],roll[deg],state,duration[usec],low_i,high_i,energy[%],SNR[dB],Fp[kHz],Fc[kHz],begin_3dB_BW[kHz],-3dB_BW[kHz],begin_10dB_BW[kHz],-10dB_BW[kHz],RMS[kHz],Qrms,Fs[kHz],energy_per[%],energy110,energy110_160,energy160_256,slope_max_wvd
1,20230630T094513Z,Kogia-D,2023/06/30,10:11:08.169,1688119868.169,1555.169421,1555.170017,0.421,596,28.61915,-18.691683,566.24,298.69,-5,18.58,2.33,117,201,52,154,93.8144844620201,14.1856820620343,115.2,114.996026174181,110.8,8.40000000000001,107.2,15.6,5.99752005677354,19.173929405089,512,93.8144844620201,0.19228168468293,0.80771831531707,0,-0.00449362843729028
2,20230630T094513Z,Kogia-B,2023/06/30,10:11:08.368,1688119868.368,1555.368817,1555.369671,0.817,854,28.61915,-18.691684,566.18,298.67,-5,18.58,2.29,117,225,59,173,99.4622292626681,26.1842307556364,113.6,113.840259148453,109.6,7.60000000000001,106.4,14.4,4.8646696491408,23.4014367591352,512,99.4622292626681,0.264421229441141,0.735578770558859,0,-0.0161157993436472
3,20230630T094513Z,Kogia-E,2023/06/30,10:11:08.558,1688119868.558,1555.558299,1555.559269,0.299,970,28.61915,-18.691683,566.21,298.69,-5,18.58,2.31,117,182,33,125,99.4797747380048,29.5759263240998,113.6,113.748679601426,108.8,9.60000000000001,104.8,17.6,4.86066256052973,23.4018877436802,512,99.4797747380048,0.19963396687429,0.80036603312571,0,2.96984867904788E-18
4,20230630T094513Z,Kogia-A,2023/06/30,10:11:08.745,1688119868.745,1555.745011,1555.746086,0.011,1075,28.61915,-18.691683,566.22,298.69,-5,18.58,2.32,117,182,47,139,99.4574388147558,29.9449260013365,113.2,113.442307279154,108.4,9.59999999999999,104.4,17.2,5.61838920561242,20.1912511090958,512,99.4574388147558,0.241329638239471,0.758670361760529,0,-2.20761600204702E-16
5,20230630T094513Z,Kogia-B,2023/06/30,10:11:08.930,1688119868.93,1555.930976,1555.931699,0.976,723,28.61915,-18.691685,566.11,298.65,-5,18.58,2.25,117,230,103,220,99.0199147945186,21.2808291841601,111.6,112.021383597638,108,8,104.8,15.2,7.4076773053395,15.1223357849149,512,99.0199147945186,0.469923705211712,0.530076294788288,0,-0.0149850149850151
6,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.101,1688119869.101,1556.101679,1556.102509,0.679,830,28.61915,-18.691685,566.12,298.65,-5,18.58,2.26,117,186,138,232,95.8609638052309,17.7646578504308,113.6,113.039873441031,108.4,10,104.4,17.6,8.66956095242775,13.0387079647184,512,95.8609638052309,0.258731478620192,0.741268521379808,0,7.74789961702658E-18
7,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.240,1688119869.24,1556.240799,1556.24156,0.799,761,28.61915,-18.691685,566.1,298.64,-5,18.58,2.24,117,160,78,159,97.1096425338273,21.9357899175805,112.8,112.043017416346,107.2,11.2,102.4,20.4,9.4173406032992,11.8975220432289,512,97.1096425338273,0.347631699266614,0.652368300733386,0,-0.0117224880382776
8,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.372,1688119869.372,1556.372157,1556.373132,0.157,975,28.61915,-18.691684,566.15,298.66,-5,18.58,2.27,117,127,97,161,95.0521101092121,21.005366115812,112.8,112.550078492398,106,13.2,100.8,23.2,6.80912645735828,16.5292977296332,512,95.0521101092121,0.357168733552457,0.642831266447543,0,-0.011669561441598
9,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.527,1688119869.527,1556.527183,1556.527887,0.183,704,28.61915,-18.691685,566.13,298.66,-5,18.58,2.26,117,176,79,168,95.9068597904582,18.0269839639189,114,113.551044463741,108.8,10,104,18.8,8.72554085705397,13.0136396498497,512,95.9068597904582,0.377889757248654,0.622110242751346,0,-0.00999471179270231
10,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.720,1688119869.72,1556.720794,1556.72148,0.794,686,28.61915,-18.691686,566.05,298.63,-5,18.57,2.21,117,225,59,173,90.3932735865833,10.2632054474268,115.2,110.310244273201,111.6,7.2,108,14,22.9152029200589,4.81384540464357,512,90.3932735865833,0.145374890784947,0.854625109215053,0,1.38898870668195E-16
11,20230630T094513Z,Kogia-C,2023/06/30,10:11:09.921,1688119869.921,1556.921004,1556.921585,0.004,581,28.61915,-18.691685,566.11,298.65,-5,18.58,2.25,117,152,39,116,82.4737339536177,10.9786133491395,115.2,112.031548820187,109.6,11.2,104.4,20.8,19.5126944973501,5.74146993565659,512,82.4737339536177,0.348481152393882,0.651518847606118,0,-0.0129817771327209
12,20230630T094513Z,Kogia-C,2023/06/30,10:11:10.072,1688119870.072,1557.072122,1557.072626,0.122,504,28.61915,-18.691685,566.08,298.64,-5,18.58,2.23,117,146,34,108,81.432371071734,10.3297129482264,114.4,113.635047094921,107.6,13.6,102,24.4,11.9581817157418,9.50270281855067,512,81.432371071734,0.399035171570551,0.600964828429449,0,-0.0382653061224493
13,20230630T094513Z,Kogia-C,2023/06/30,10:11:10.213,1688119870.213,1557.213268,1557.213839,0.268,571,28.61915,-18.691686,566.05,298.63,-5,18.57,2.21,117,162,52,134,80.5779360385255,9.44215150372886,112.8,109.420781423924,106.8,11.2,102,20.8,20.3465803255537,5.37784628537801,512,80.5779360385255,0.39429816850832,0.60570183149168,0,-0.0144565960355438
14,20230630T094513Z,Kogia-C,2023/06/30,10:11:10.375,1688119870.375,1557.375379,1557.376034,0.379,655,28.61915,-18.691686,566.02,298.62,-5,18.57,2.2,117,143,58,130,73.4901776839463,7.07497914934471,111.6,99.7048196025847,104.8,14,11.2,112.8,33.5460361377869,2.97217886468188,512,73.4901776839463,0.600884389585463,0.399115610414537,0,-0.187740117817809
15,20230630T094513Z,Kogia-C,2023/06/30,10:11:10.555,1688119870.555,1557.555266,1557.555759,0.266,493,28.61915,-18.691686,566.02,298.62,-5,18.57,2.19,117,186,35,129,77.698239424795,6.67438405962489,111.2,113.461555136585,105.6,11.2,100.8,21.2,16.0955559797066,7.04924733756564,512,77.698239424795,0.426230654559045,0.573769345440955,0,0.0247095010252904
16,20230630T094513Z,Kogia-C,2023/06/30,10:11:18.023,1688119878.023,1565.023847,1565.024316,0.847,469,28.61915,-18.6917,565.21,298.33,-5,18.54,1.69,117,170,77,163,78.4131288029533,6.05778467588339,115.2,110.761156661868,110.4,9.59999999999999,106,18,23.6811603025904,4.67718453177957,512,78.4131288029533,0.231985689761059,0.768014310238942,0,-2.04919558854304E-16
17,20230630T094513Z,Kogia-C,2023/06/30,10:11:18.231,1688119878.231,1565.231498,1565.232104,0.498,606,28.61915,-18.6917,565.23,298.34,-5,18.54,1.7,117,383,22,217,88.8334194270804,1.93599361035827,116.4,99.4429981840471,113.2,6,8,112.8,40.9331515008105,2.4293999982405,512,88.8334194270804,0.164809734578428,0.835190265421572,0,-0.282035058117735
18,20230630T094513Z,Kogia-B,2023/06/30,10:11:18.413,1688119878.413,1565.413928,1565.414839,0.928,911,28.61915,-18.691701,565.17,298.32,-5,18.54,1.66,117,209,43,149,95.844861279499,18.9154966384048,116.4,116.125887357923,112.4,8,109.2,14.4,6.81361371914763,17.0432155599877,512,95.844861279499,0.0259203667731499,0.97407963322685,0,4.15226878245656E-16
19,20230630T094513Z,Kogia-A,2023/06/30,10:11:18.612,1688119878.612,1565.612865,1565.613642,0.865,777,28.61915,-18.691701,565.15,298.31,-5,18.54,1.65,117,191,44,141,99.5760425204213,29.5631679885007,115.6,115.384853982753,110.8,8.8,107.2,16,4.40023170084324,26.2224495952432,512,99.5760425204213,0.123008393380946,0.876991606619055,0,-7.43451955013593E-17
20,20230630T094513Z,Kogia-A,2023/06/30,10:11:18.804,1688119878.804,1565.804903,1565.8056,0.903,697,28.61915,-18.691701,565.13,298.31,-5,18.54,1.64,117,209,33,139,99.2766506147385,25.200799058276,114.8,114.95614061405,110.8,8.40000000000001,107.6,14.8,4.93832576893797,23.278363152371,512,99.2766506147385,0.0802337338918674,0.919766266108133,0,0.00252904989747095
21,20230630T094513Z,Kogia-C,2023/06/30,10:11:19.185,1688119879.185,1566.185082,1566.185534,0.082,452,28.61915,-18.691701,565.17,298.32,-5,18.54,1.68,117,213,34,142,70.3332031807398,2.25522990085286,116.8,106.993793004039,112.8,8,12.4,111.2,32.6726793910281,3.2747174397157,512,70.3332031807398,0.107341570714061,0.892658429285939,0,-0.0526578684473424
22,20230630T094513Z,Kogia-C,2023/06/30,10:11:19.398,1688119879.398,1566.398745,1566.399287,0.745,542,28.619151,-18.691703,565.09,298.3,-5,18.55,1.67,117,293,36,185,95.0442307925526,10.5508514796268,117.2,116.975089998738,114.4,6,111.6,11.2,10.345061588282,11.3073362589969,512,95.0442307925526,0,1,0,-8.06000015438803E-17
23,20230630T094513Z,Kogia-B,2023/06/30,10:11:19.592,1688119879.592,1566.592982,1566.593594,0.982,612,28.619151,-18.691704,565.05,298.29,-5,18.55,1.67,117,213,10,118,95.1532977348861,16.3769698783692,115.6,115.1220879565,111.2,8.39999999999999,107.6,15.6,8.76868431325143,13.1287755202368,512,95.1532977348861,0.0866819600628482,0.913318039937152,0,1.5741677585938E-16
24,20230630T094513Z,Kogia-B,2023/06/30,10:11:19.775,1688119879.775,1566.775934,1566.776532,0.934,598,28.619151,-18.691704,565.04,298.28,-5,18.55,1.67,117,207,20,125,97.3732190379627,18.9486960779163,116,115.267631937987,112,8,108.4,14.8,10.2320945250245,11.2653017088611,512,97.3732190379627,0.149498906966002,0.850501093033998,0,2.90909418270834E-16
25,20230630T094513Z,Kogia-C,2023/06/30,10:11:19.953,1688119879.953,1566.953976,1566.954589,0.976,613,28.619152,-18.691705,565.02,298.28,-5,18.55,1.67,117,223,42,155,95.421209535143,15.2454770342664,116,113.314981064898,112.4,7.19999999999999,109.2,13.6,17.4264740495206,6.50246175691608,512,95.421209535143,0.0654213775166683,0.934578622483332,0,4.26336423272402E-16
26,20230630T094513Z,Kogia-A,2023/06/30,10:11:20.147,1688119880.147,1567.147371,1567.148123,0.371,752,28.619151,-18.691704,565.06,298.29,-5,18.55,1.67,117,184,33,126,98.9247971425456,25.1772914243082,115.6,115.190860626146,110.8,9.2,107.2,16.4,7.35324788647339,15.6653036052334,512,98.9247971425456,0.0849196026119073,0.915080397388093,0,-8.62195968295005E-17
27,20230630T094513Z,Kogia-C,2023/06/30,10:11:20.984,1688119880.984,1567.984131,1567.984448,0.131,317,28.619152,-18.691705,565,298.27,-5,18.55,1.67,117,135,40,108,60.0172773438672,0.903111303453879,113.2,108.127569924949,107.2,12,102,21.6,26.5886005166694,4.06668902551527,512,60.0172773438672,0.374101089845715,0.625898910154285,0,0
28,20230630T094513Z,Kogia-C,2023/06/30,10:11:21.127,1688119881.127,1568.127264,1568.12769,0.264,426,28.619152,-18.691706,564.97,298.26,-5,18.55,1.67,117,125,32,95,89.4329328724821,10.3708545042441,107.6,106.046630468464,100.8,13.2,95.6,23.6,15.8821188753628,6.67710847026645,512,89.4329328724821,0.88866300202073,0.11133699797927,0,2.43774788221879E-16
29,20230630T094513Z,Kogia-C,2023/06/30,10:11:21.181,1688119881.181,1568.181446,1568.181679,0.446,233,28.619152,-18.691707,564.95,298.26,-5,18.56,1.67,117,90,17,62,49.5063356086584,-1.40642474968851,116,86.1228247270382,10.8,114,3.6,128.8,48.0346556055894,1.79293103367263,512,49.5063356086584,0.595778970301437,0.404221029698563,0,0.00198624904507269
30,20230630T094513Z,Kogia-A,2023/06/30,10:11:21.296,1688119881.296,1568.296937,1568.297908,0.937,971,28.619153,-18.691708,564.89,298.24,-5,18.56,1.66,117,191,48,145,99.1096957575753,25.58303006074,112.4,112.37847732878,107.2,10,102.4,18.4,6.53634459969494,17.1928630161306,512,99.1096957575753,0.405046776449745,0.594953223550255,0,0.00887237762237739
31,20230630T094513Z,Kogia-A,2023/06/30,10:11:21.462,1688119881.462,1568.462698,1568.463338,0.698,640,28.619153,-18.691708,564.9,298.24,-5,18.56,1.66,117,199,27,128,98.2161523493761,19.1987270052122,112.8,113.331706957655,108.4,9.19999999999999,104.8,16.8,7.57264339317087,14.9659373977466,512,98.2161523493761,0.363421728821577,0.636578271178423,0,-9.40525692270275E-17
32,20230630T094513Z,Kogia-C,2023/06/30,10:11:21.629,1688119881.629,1568.629435,1568.629929,0.435,494,28.619153,-18.691708,564.91,298.24,-5,18.56,1.66,117,242,23,146,95.9319829025631,14.3766948915869,114.8,117.088256808555,110.8,8,107.6,14.4,18.0895644348553,6.47269630124136,512,95.9319829025631,0.102094072180061,0.897905927819939,0,-0.019459953635681
33,20230630T094513Z,Kogia-C,2023/06/30,10:11:21.797,1688119881.797,1568.797723,1568.798041,0.723,318,28.619153,-18.691709,564.87,298.23,-5,18.56,1.66,117,318,,,100,-3.07484472389823,115.6,108.748756680205,112.4,6.8,109.6,12.4,30.0449573279017,3.61953440284016,512,100,0.0686057935679321,0.931394206432068,0,0.164060097526688
34,20230630T094513Z,Kogia-C,2023/06/30,10:11:21.965,1688119881.965,1568.965469,1568.965857,0.469,388,28.619153,-18.691709,564.87,298.23,-5,18.56,1.66,117,389,,,100,-3.28111646324338,13.6,60.4926971922505,12,105.2,7.2,112.8,53.9218319136864,1.12185908833888,512,100,0.642965715461865,0.357034284538135,0,-0.672352872832647
35,20230630T094513Z,Kogia-C,2023/06/30,10:11:22.463,1688119882.463,1569.463223,1569.463478,0.223,255,28.619153,-18.691709,564.85,298.22,-5,18.56,1.66,117,102,30,81,44.819544141252,-2.31949130105519,115.2,107.857834857132,106.4,16.8,99.2,30,30.3070860425708,3.55883223829666,512,44.819544141252,0.292048095218448,0.707951904781552,0,-0.0385162490425648
36,20230630T094513Z,Kogia-C,2023/06/30,10:11:23.086,1688119883.086,1570.086853,1570.087306,0.853,453,28.619154,-18.691712,564.73,298.19,-5,18.57,1.65,117,164,37,120,79.6581598459904,6.31758147611658,114,104.653587529017,108.8,10,104,18.4,30.1162943328268,3.4749822263141,512,79.6581598459904,0.334132209685068,0.665867790314932,0,0.012753542650736
37,20230630T094513Z,Kogia-B,2023/06/30,10:11:23.277,1688119883.277,1570.277679,1570.278443,0.679,764,28.619154,-18.691712,564.73,298.19,-5,18.57,1.65,117,188,54,149,93.4682212469307,16.4783943078544,113.6,113.05041454484,108.8,9.60000000000001,104.8,17.2,8.81599316805799,12.8233328213596,512,93.4682212469307,0.243083634169199,0.756916365830801,0,-1.81560189087834E-16
38,20230630T094513Z,Kogia-C,2023/06/30,10:11:23.474,1688119883.474,1570.474868,1570.475359,0.868,491,28.619154,-18.691713,564.69,298.18,-5,18.57,1.65,117,213,31,139,92.3083346316741,10.4750663615328,113.6,107.483806620846,109.2,8.8,105.6,15.6,24.9394403907996,4.309792238181,512,92.3083346316741,0.205953921847296,0.794046078152704,0,0.0102628656053316
39,20230630T094513Z,Kogia-B,2023/06/30,10:11:23.671,1688119883.671,1570.671494,1570.672087,0.494,593,28.619154,-18.691713,564.71,298.18,-5,18.57,1.65,117,197,37,137,96.7259856908275,18.2501899562595,114,113.554013059009,109.2,9.2,105.2,16.8,7.50310403847653,15.134271426425,512,96.7259856908275,0.29048907957548,0.70951092042452,0,0.00193642674461071
40,20230630T094513Z,Kogia-C,2023/06/30,10:11:23.875,1688119883.875,1570.875661,1570.876255,0.661,594,28.619155,-18.691714,564.67,298.17,-5,18.57,1.65,117,264,50,184,94.1868245524767,10.7691002832771,115.2,111.733668634607,112,6.8,108.8,13.2,19.3488266673756,5.77469996271158,512,94.1868245524767,0.0338841701101161,0.966115829889884,0,-0.0579761191927021
41,20230630T094513Z,Kogia-C,2023/06/30,10:11:40.937,1688119900.937,1587.93788,1587.938441,0.88,561,28.619167,-18.691757,563,297.79,-5,18.66,1.58,117,191,37,134,80.0509388972292,7.68433013739517,114.4,116.532237326118,109.2,10.4,104.8,20,17.3767716062713,6.70620757218569,512,80.0509388972292,0.200172633326819,0.799827366673181,0,0.00622395109752659
42,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.019,1688119901.019,1588.019986,1588.02025,0.986,264,28.619167,-18.691758,562.98,297.8,-5,18.66,1.59,117,176,13,102,95.4856877585447,10.1364818032335,114.8,111.79580979425,109.2,11.2,104.4,40.4,28.8072794077765,3.88081804643,512,95.4856877585447,0.311421601189089,0.688578398810911,0,0.00307607124181043
43,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.113,1688119901.113,1588.113809,1588.114084,0.809,275,28.619167,-18.691757,562.99,297.8,-5,18.66,1.58,117,100,28,78,72.0737076147486,3.72780668019885,114.8,101.972504728031,107.2,15.2,7.2,120,36.3750803674328,2.80336163378841,512,72.0737076147486,0.336599088725459,0.663400911274541,0,-0.0170731707317076
44,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.335,1688119901.335,1588.335735,1588.336096,0.735,361,28.619167,-18.691758,562.98,297.8,-5,18.66,1.59,117,180,21,112,79.6960481845344,3.47833105767776,118.8,102.070132172089,114.4,8.8,6.8,120,41.8068588165167,2.44146857863819,512,79.6960481845344,0.188751425061165,0.811248574938835,0,-0.0171775394129101
45,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.462,1688119901.462,1588.462891,1588.463386,0.891,495,28.619167,-18.691758,562.95,297.8,-5,18.66,1.59,117,273,19,158,88.9709443366908,7.12356389251951,119.2,109.700546447744,116,6.40000000000001,113.6,11.6,30.6777990061535,3.57589364301329,512,88.9709443366908,0.070580933620166,0.929419066379834,0,-0.00475923852183686
46,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.598,1688119901.598,1588.598299,1588.598751,0.299,452,28.619167,-18.691757,563,297.79,-5,18.66,1.58,117,453,,,100,-6.35386049931439,10.4,70.4035682219678,8.4,115.2,6.8,118.8,55.7545126514899,1.26274206111434,512,100,0.508970412093011,0.491029587906989,0,-0.683619923771804
47,20230630T094513Z,Kogia-C,2023/06/30,10:11:41.736,1688119901.736,1588.736271,1588.736641,0.271,370,28.619167,-18.691758,562.98,297.8,-5,18.66,1.59,117,373,,,100,-7.28123868989817,120.8,104.48203894266,117.6,5.60000000000001,12.8,112.4,41.4024704885748,2.52357015679759,512,100,0.159298783522422,0.840701216477578,0,-0.252184938404304
48,20230630T094513Z,Kogia-C,2023/06/30,10:11:48.555,1688119908.555,1595.555041,1595.555599,0.041,558,28.619167,-18.691774,562.29,297.88,-5,18.66,1.62,117,236,24,144,92.0443538939224,10.8794975270564,112.8,110.26082189222,109.2,7.2,106.4,13.2,19.6519939023299,5.61066843599761,512,92.0443538939224,0.181507906823741,0.818492093176259,0,1.7700321376588E-16
49,20230630T094513Z,Kogia-C,2023/06/30,10:11:48.760,1688119908.76,1595.760319,1595.76072,0.319,401,28.619167,-18.691775,562.24,297.88,-5,18.67,1.62,117,178,33,123,60.1147347131561,-0.201969021148482,113.2,89.4092536565264,108.4,9.19999999999999,8.4,112.8,45.5777416102423,1.96168679047569,512,60.1147347131561,0.613533223847274,0.386466776152726,0,0.0955834637553917
50,20230630T094513Z,Kogia-C,2023/06/30,10:11:48.928,1688119908.928,1595.928178,1595.928559,0.178,381,28.619167,-18.691775,562.24,297.88,-5,18.67,1.62,117,270,14,151,94.4418375113019,6.76726164377764,114,106.95305049519,110.8,6.40000000000001,107.6,12.4,27.5534675396835,3.88165483495505,512,94.4418375113019,0.126246258197488,0.873753741802512,0,-0.0131390348781654
51,20230630T094513Z,Kogia-C,2023/06/30,10:11:49.092,1688119909.092,1596.092544,1596.093162,0.544,618,28.619167,-18.691777,562.18,297.89,-5,18.67,1.62,117,164,22,105,90.6704487926552,14.2007484992056,115.2,112.814559975727,110,10.4,106,18,16.1868507916471,6.96951874257981,512,90.6704487926552,0.17590767116306,0.82409232883694,0,-2.83681863208111E-16
52,20230630T094513Z,Kogia-A,2023/06/30,10:11:49.243,1688119909.243,1596.243754,1596.244686,0.754,932,28.619167,-18.691777,562.15,297.89,-5,18.67,1.62,117,291,59,207,99.007841311771,21.7240898027889,115.6,116.078033821611,113.2,5.59999999999999,110.8,11.6,6.98644407799861,16.614751728588,512,99.007841311771,0,1,0,-0.00610683569784739
53,20230630T094513Z,Kogia-A,2023/06/30,10:11:49.396,1688119909.396,1596.396407,1596.397496,0.407,1089,28.619167,-18.691777,562.17,297.89,-5,18.67,1.62,117,303,79,233,99.089611317854,23.2743764959113,119.2,118.994248496702,116,6.40000000000001,113.2,11.2,4.58737276919653,25.9395201749744,512,99.089611317854,0,1,0,0.0096097845078619
54,20230630T094513Z,Kogia-A,2023/06/30,10:11:49.554,1688119909.554,1596.554571,1596.555669,0.571,1098,28.619167,-18.691778,562.13,297.89,-5,18.67,1.63,117,213,47,155,98.9232600433375,26.7414735757039,118.4,118.542507459281,114.8,7.60000000000001,111.6,13.6,4.92225966329365,24.0829447384253,512,98.9232600433375,0,1,0,1.34064667124547E-16
55,20230630T094513Z,Kogia-B,2023/06/30,10:11:49.682,1688119909.682,1596.682976,1596.68361,0.976,634,28.619167,-18.691779,562.08,297.9,-5,18.67,1.63,117,211,57,164,97.6826775025843,18.7299917548821,117.6,117.162778792477,113.6,8,110,14.4,8.74633956980472,13.3956357236532,512,97.6826775025843,0.0143562930857903,0.98564370691421,0,0.0196172248803831
56,20230630T094513Z,Kogia-C,2023/06/30,10:11:49.794,1688119909.794,1596.794052,1596.794477,0.052,425,28.619167,-18.691777,562.16,297.89,-5,18.67,1.62,117,229,29,145,82.916326969392,3.8191296663944,116.4,108.691221500356,112.8,7.2,108,14.4,29.1139894836871,3.73329878274694,512,82.916326969392,0.143582889412878,0.856417110587121,0,0.0210318626422065
57,20230630T094513Z,Kogia-C,2023/06/30,10:11:49.929,1688119909.929,1596.92928,1596.929633,0.28,353,28.619167,-18.691778,562.12,297.89,-5,18.67,1.63,117,355,,,100,-7.94733451908155,112,94.1133181952486,109.6,4.80000000000001,9.6,158.4,48.4867822937753,1.9410097709728,512,100,0.418650587623786,0.523241506384222,0.0581079059919921,-0.0736144993096096
58,20230630T094513Z,Kogia-C,2023/06/30,10:11:50.071,1688119910.071,1597.071636,1597.072033,0.636,397,28.619167,-18.691779,562.07,297.9,-5,18.67,1.63,117,240,8,130,82.2755437394795,1.62928259359605,114,82.6465489137505,10.4,110.8,5.6,118.8,49.5981215500504,1.66632417379659,512,82.2755437394795,0.464006585337175,0.535993414662825,0,0.170340477482366
59,20230630T094513Z,Kogia-C,2023/06/30,10:11:50.254,1688119910.254,1597.254315,1597.254698,0.315,383,28.619167,-18.691779,562.09,297.9,-5,18.67,1.63,117,188,42,137,68.2209718696093,-0.086490792409957,115.2,93.2449363398017,110.4,9.59999999999999,7.6,116,42.0208374211857,2.21901661323842,512,68.2209718696093,0.344251808394149,0.655748191605851,0,-0.186445012787724
60,20230630T094513Z,Kogia-C,2023/06/30,10:11:50.427,1688119910.427,1597.427101,1597.427622,0.101,521,28.619167,-18.691779,562.09,297.9,-5,18.67,1.63,117,154,27,105,82.4141539377693,8.84717439610203,114,106.987034888508,108.8,10.4,104.8,18.4,26.3704219671187,4.0570846769881,512,82.4141539377693,0.228083636771925,0.771916363228075,0,-0.0033313851548806
61,20230630T094513Z,Kogia-B,2023/06/30,10:11:52.299,1688119912.299,1599.299371,1599.299996,0.371,625,28.619167,-18.691784,561.86,297.92,-5,18.67,1.64,117,180,24,115,98.0865590898888,18.4693291529169,114.8,113.99547258129,110,8.8,106,16.4,7.73749005968293,14.732874834344,512,98.0865590898888,0.320507983096185,0.679492016903815,0,-6.4027052960958E-17
62,20230630T094513Z,Kogia-B,2023/06/30,10:11:52.453,1688119912.453,1599.453698,1599.454362,0.698,664,28.619167,-18.691785,561.81,297.93,-5,18.67,1.64,117,158,39,119,94.3300051862688,13.8143882767089,115.6,114.178919586276,110.8,9.60000000000001,102.8,21.2,15.0735012916889,7.57481074746922,512,94.3300051862688,0.191085094399614,0.808914905600386,0,0.0307244843997886
63,20230630T094513Z,Kogia-B,2023/06/30,10:11:52.620,1688119912.62,1599.620855,1599.621548,0.855,693,28.619167,-18.691786,561.78,297.93,-5,18.67,1.64,117,262,40,173,98.6228373286133,16.5868674612491,116.4,115.00343721859,112.4,7.19999999999999,108,14,9.68134220549855,11.8788732778471,512,98.6228373286133,0.131439690660077,0.868560309339923,0,0.0232291923496882
64,20230630T094513Z,Kogia-C,2023/06/30,10:11:52.794,1688119912.794,1599.794502,1599.79497,0.502,468,28.619167,-18.691786,561.8,297.93,-5,18.67,1.64,117,219,25,136,84.7059185405009,6.63937249418028,117.2,112.324172583053,113.2,8,110,14.8,24.5629098574907,4.57291799850818,512,84.7059185405009,0.0459426930641912,0.954057306935809,0,0.00501708817498285
65,20230630T094513Z,Kogia-C,2023/06/30,10:11:52.978,1688119912.978,1599.978181,1599.978671,0.181,490,28.619167,-18.691785,561.81,297.93,-5,18.67,1.64,117,223,69,182,75.5820728101376,1.83287960831186,117.2,104.92666056337,113.2,8,109.6,14.8,34.6120273607268,3.03150865650901,512,75.5820728101376,0.114797962098646,0.885202037901354,0,-0.165555014605647
66,20230630T094513Z,Kogia-B,2023/06/30,10:11:54.443,1688119914.443,1601.443199,1601.443867,0.199,668,28.619167,-18.691789,561.66,297.95,-5,18.67,1.65,117,168,45,130,92.5961142609151,15.7010546503924,114,112.873325241288,109.2,10,104.8,18.4,12.5014864169502,9.02879237530091,512,92.5961142609151,0.288773085042105,0.711226914957895,0,-0.00475131981105893
67,20230630T094513Z,Kogia-C,2023/06/30,10:11:54.633,1688119914.633,1601.633275,1601.633707,0.275,432,28.619167,-18.69179,561.63,297.95,-5,18.67,1.65,117,170,39,125,95.6923991206512,15.7288749322152,114,112.80042504486,108.8,10.4,104.4,18.8,13.7459041271763,8.2061117261722,512,95.6923991206512,0.329700474819928,0.670299525180073,0,-0.011558766323979
68,20230630T094513Z,Kogia-C,2023/06/30,10:11:54.836,1688119914.836,1601.836474,1601.836865,0.474,391,28.619167,-18.691791,561.59,297.96,-5,18.67,1.65,117,160,52,133,72.1716334641109,3.91234611260308,114,109.066231884125,108.8,10.4,104.8,18.4,22.9779173289969,4.7465673377843,512,72.1716334641109,0.23054136998877,0.76945863001123,0,0.0250730566919928
69,20230630T094513Z,Kogia-C,2023/06/30,10:11:59.974,1688119919.974,1606.974052,1606.974428,0.052,376,28.619168,-18.691802,561.11,297.9,-5,18.65,1.67,117,189,37,133,74.418908054872,1.83306568874023,116.4,103.027574260146,112,8.40000000000001,10.8,112.8,35.6337877342704,2.89128888089157,512,74.418908054872,0.160039795424224,0.839960204575776,0,-0.0883931877082559
70,20230630T094513Z,Kogia-C,2023/06/30,10:12:00.146,1688119920.146,1607.146619,1607.14708,0.619,461,28.619168,-18.691803,561.04,297.84,-5,18.64,1.68,117,186,35,129,91.2671902345749,10.2371514907226,115.2,114.053624482667,110.8,8.40000000000001,107.2,15.6,11.5134155409238,9.90615027115716,512,91.2671902345749,0.110963793820853,0.889036206179147,0,9.44473184449301E-17
71,20230630T094513Z,Kogia-C,2023/06/30,10:12:00.306,1688119920.306,1607.306933,1607.307219,0.933,286,28.619169,-18.691804,561,297.79,-5,18.63,1.68,117,152,9,86,80.4320247826747,3.64835903725648,115.2,105.577668199221,109.6,11.2,18,106.8,32.7756649796213,3.22122124035821,512,80.4320247826747,0.405120910073218,0.594879089926782,0,-0.0499246362545756
72,20230630T094513Z,Kogia-C,2023/06/30,10:12:00.450,1688119920.45,1607.450359,1607.450751,0.359,392,28.619168,-18.691803,561.04,297.83,-5,18.64,1.68,117,395,,,100,-3.94716996574556,116,80.6823701189505,113.6,5.2,10.4,111.2,50.8364960818245,1.58709542036664,512,100,0.428280635796004,0.571719364203996,0,-0.137849599122184
